Year,Week Number,Average
1916,25,89.804
1916,26,88.69800000000001
1916,27,90.0025
1916,28,87.442
1916,29,88.106
1916,30,88.482
1916,31,88.776
1916,32,89.53200000000001
1916,33,91.66
1916,34,93.45
1916,35,91.776
1916,36,94.27250000000001
1916,37,97.46599999999998
1916,38,99.17399999999999
1916,39,102.194
1916,40,103.374
1916,41,100.125
1916,42,102.48400000000001
1916,43,104.946
1916,44,105.35799999999999
1916,45,107.3425
1916,46,107.69800000000001
1916,47,109.09
1916,48,106.84500000000001
1916,49,106.46600000000001
1916,50,100.75800000000001
1916,51,95.268
1916,52,95.185
1917,1,92.604
1917,2,96.30199999999999
1917,3,96.918
1917,4,96.85799999999999
1917,5,92.514
1917,6,91.63399999999999
1917,7,91.9225
1917,8,93.77499999999999
1917,9,92.302
1917,10,95.47599999999998
1917,11,95.304
1917,12,97.36600000000001
1917,13,96.652
1917,14,95.96000000000001
1917,15,92.542
1917,16,91.676
1917,17,92.152
1917,18,92.112
1917,19,90.136
1917,20,91.588
1917,21,94.756
1917,22,97.47
1917,23,98.0425
1917,24,97.772
1917,25,95.48599999999999
1917,26,96.22999999999999
1917,27,94.5025
1917,28,93.36999999999999
1917,29,91.29
1917,30,91.456
1917,31,92.39399999999999
1917,32,92.55
1917,33,91.898
1917,34,89.64799999999998
1917,35,85.676
1917,36,82.94250000000001
1917,37,83.232
1917,38,83.44800000000001
1917,39,84.87799999999999
1917,40,82.378
1917,41,78.7225
1917,42,76.87599999999999
1917,43,78.178
1917,44,74.048
1917,45,69.8525
1917,46,69.8
1917,47,73.012
1917,48,73.4325
1917,49,71.25
1917,50,68.43599999999999
1917,51,67.14399999999999
1917,52,70.06
1918,1,78.28
1918,2,75.286
1918,3,74.098
1918,4,75.94200000000001
1918,5,78.29750000000001
1918,6,78.6075
1918,7,79.13333333333333
1918,8,81.355
1918,9,80.128
1918,10,79.348
1918,11,79.064
1918,12,78.124
1918,13,76.5175
1918,14,77.06200000000001
1918,15,76.75399999999999
1918,16,77.66400000000002
1918,17,78.36800000000001
1918,18,78.2
1918,19,80.55600000000001
1918,20,83.18800000000002
1918,21,82.27
1918,22,78.3975
1918,23,79.03399999999999
1918,24,79.78600000000002
1918,25,81.2
1918,26,82.656
1918,27,82.31
1918,28,81.95400000000001
1918,29,81.79400000000001
1918,30,81.09
1918,31,80.91799999999999
1918,32,81.28999999999999
1918,33,81.66199999999999
1918,34,81.84400000000001
1918,35,82.862
1918,36,83.41
1918,37,80.97
1918,38,81.75999999999999
1918,39,82.95
1918,40,84.66799999999999
1918,41,84.198
1918,42,87.306
1918,43,87.332
1918,44,85.758
1918,45,86.9075
1918,46,86.09
1918,47,84.09200000000001
1918,48,80.5975
1918,49,82.27599999999998
1918,50,83.672
1918,51,82.75399999999999
1918,52,80.92750000000001
1919,1,96.764
1919,2,82.51
1919,3,81.94800000000001
1919,4,80.39399999999999
1919,5,81.036
1919,6,80.34400000000001
1919,7,80.5425
1919,8,82.838
1919,9,85.064
1919,10,85.358
1919,11,87.976
1919,12,88.28
1919,13,87.82750000000001
1919,14,89.098
1919,15,90.4
1919,16,90.975
1919,17,92.11000000000001
1919,18,93.424
1919,19,96.83500000000001
1919,20,99.5
